,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
0,Orco +/+ shuffle vs. Orco +/+ d,0.8235294117647058,0.7089887224730524,-0.28010791919273537,0.34391565882044683
1,Orco +/+ shuffle vs. Orco +/+ da1,0.8148148148148148,0.5422059672008319,-0.29545588352617136,0.6121093364435843
2,Orco +/+ shuffle vs. Orco +/+ da2,20.0,1.3340254369552614e-05,4.321928094887363,11.224724449476238
3,Orco +/+ shuffle vs. Orco +/+ da3,5.5,0.020401029390468246,2.4594316186372973,3.8921699190879746
4,Orco +/+ shuffle vs. Orco +/+ da4l,2.25,0.25888103372724003,1.1699250014423124,1.3513866520450442
5,Orco +/+ shuffle vs. Orco +/+ da4m,2.75,0.11156276084830738,1.4594316186372973,2.193167968874824
6,Orco +/+ shuffle vs. Orco +/+ dc1,0.48717948717948717,0.006594685468506236,-1.0374747054186628,5.021491186367732
7,Orco +/+ shuffle vs. Orco +/+ dc2,0.9444444444444444,1.0,-0.08246216019197299,0.0
8,Orco +/+ shuffle vs. Orco +/+ dc3,0.5862068965517241,0.08383082388171956,-0.7705181538772329,2.478954512374945
9,Orco +/+ shuffle vs. Orco +/+ dc4,1.3846153846153846,0.4549750836451557,0.4694852833012202,0.7875126227500749
10,Orco +/+ shuffle vs. Orco +/+ dl1,0.53125,0.031933158694989056,-0.9125371587496606,3.444110351530065
11,Orco +/+ shuffle vs. Orco +/+ dl2d,1.0909090909090908,1.0,0.12553088208385882,0.0
12,Orco +/+ shuffle vs. Orco +/+ dl2v,1.5555555555555556,0.3907750540945696,0.6374299206152918,0.9396231937716704
13,Orco +/+ shuffle vs. Orco +/+ dl3,1.8181818181818181,0.13357144232975013,0.8624964762500651,2.013118795745292
14,Orco +/+ shuffle vs. Orco +/+ dl4,3.75,0.016517007316474205,1.9068905956085185,4.103364682476992
15,Orco +/+ shuffle vs. Orco +/+ dl5,0.5882352941176471,0.23130923607117998,-0.765534746362977,1.4639997794084638
16,Orco +/+ shuffle vs. Orco +/+ dm1,1.125,0.8580053573871905,0.16992500144231237,0.15314493547265412
17,Orco +/+ shuffle vs. Orco +/+ dm2,0.9166666666666666,1.0,-0.12553088208385899,0.0
18,Orco +/+ shuffle vs. Orco +/+ dm3,3.1666666666666665,0.011760532896856333,1.6629650127224291,4.443006023179789
19,Orco +/+ shuffle vs. Orco +/+ dm4,3.0,0.009697104362319766,1.584962500721156,4.6359279573870475
20,Orco +/+ shuffle vs. Orco +/+ dm5,0.875,0.8498006309539052,-0.19264507794239588,0.16275350882828982
21,Orco +/+ shuffle vs. Orco +/+ dm6,1.6666666666666667,0.13280461202090063,0.7369655941662062,2.018876313469797
22,Orco +/+ shuffle vs. Orco +/+ dp1l,1.75,0.14504238219076138,0.8073549220576041,1.9307292882994782
23,Orco +/+ shuffle vs. Orco +/+ dp1m,0.43243243243243246,0.002901752087003184,-1.2094533656289497,5.8424405564935435
24,Orco +/+ shuffle vs. Orco +/+ v,0.0,0.0004119833403449998,-inf,7.794527645488133
25,Orco +/+ shuffle vs. Orco +/+ va1d,0.3684210526315789,0.0239869997824363,-1.4405725913859815,3.7302432711253113
26,Orco +/+ shuffle vs. Orco +/+ va1v,0.9230769230769231,1.0,-0.1154772174199359,0.0
27,Orco +/+ shuffle vs. Orco +/+ va2,1.0625,1.0,0.0874628412503394,0.0
28,Orco +/+ shuffle vs. Orco +/+ va3,0.7391304347826086,0.40493231685489783,-0.43609911480667357,0.9040353447183089
29,Orco +/+ shuffle vs. Orco +/+ va4,1.4285714285714286,0.6214196207257554,0.5145731728297582,0.47574870748826986
30,Orco +/+ shuffle vs. Orco +/+ va5,0.5555555555555556,0.1692050762291683,-0.84799690655495,1.7766438309056232
31,Orco +/+ shuffle vs. Orco +/+ va6,0.7894736842105263,0.5912509291454147,-0.34103691783506696,0.5255147676839274
32,Orco +/+ shuffle vs. Orco +/+ va7l,1.0,1.0,0.0,0.0
33,Orco +/+ shuffle vs. Orco +/+ va7m,0.8666666666666667,0.845039026929691,-0.20645087746742632,0.16837246697587985
34,Orco +/+ shuffle vs. Orco +/+ vc1,1.3,0.6684033458823762,0.3785116232537299,0.4028634764649652
35,Orco +/+ shuffle vs. Orco +/+ vc2,1.8571428571428572,0.25090216415222544,0.8930847960834881,1.3826922000900634
36,Orco +/+ shuffle vs. Orco +/+ vc3l,0.5714285714285714,0.14504238219076138,-0.8073549220576042,1.9307292882994782
37,Orco +/+ shuffle vs. Orco +/+ vc3m,1.1428571428571428,0.8498006309539052,0.19264507794239583,0.16275350882828982
38,Orco +/+ shuffle vs. Orco +/+ vc4,0.6470588235294118,0.32728839219052147,-0.6280312226130421,1.1169135634552068
39,Orco +/+ shuffle vs. Orco +/+ vc5,0.8461538461538461,0.8337618895801386,-0.24100809950379493,0.18180742148799825
40,Orco +/+ shuffle vs. Orco +/+ vl1,4.5,0.003389641852922718,2.169925001442312,5.687031011276325
41,Orco +/+ shuffle vs. Orco +/+ vl2a,0.8181818181818182,0.8192315853523984,-0.2895066171949848,0.1993884691017933
42,Orco +/+ shuffle vs. Orco +/+ vl2p,1.1333333333333333,0.8541000370124538,0.18057224564182084,0.1577069526950009
43,Orco +/+ shuffle vs. Orco +/+ vm1,2.0,0.13914875099967658,1.0,1.9722117669781059
44,Orco +/+ shuffle vs. Orco +/+ vm2,0.5,0.22707350567095083,-1.0,1.482481500388602
45,Orco +/+ shuffle vs. Orco +/+ vm3,1.1428571428571428,1.0,0.19264507794239583,0.0
46,Orco +/+ shuffle vs. Orco +/+ vm4,1.0714285714285714,1.0,0.09953567355091437,0.0
47,Orco +/+ shuffle vs. Orco +/+ vm5d,1.0526315789473684,1.0,0.07400058144377678,0.0
48,Orco +/+ shuffle vs. Orco +/+ vm5v,0.7058823529411765,0.44107013371925113,-0.5025003405291831,0.8185513828027713
49,Orco +/+ shuffle vs. Orco +/+ vm7d,1.1428571428571428,0.8498006309539052,0.19264507794239583,0.16275350882828982
50,Orco +/+ shuffle vs. Orco +/+ vm7v,1.8888888888888888,0.15454462056275114,0.9175378398080271,1.8672724181094296
51,Orco +/+ shuffle vs. Orco -/- d,1.2727272727272727,0.6803113261158391,0.3479233034203068,0.3852047530620237
52,Orco +/+ shuffle vs. Orco -/- da1,0.9565217391304348,1.0,-0.06413033741971558,0.0
53,Orco +/+ shuffle vs. Orco -/- da2,20.0,1.3340254369552614e-05,4.321928094887363,11.224724449476238
54,Orco +/+ shuffle vs. Orco -/- da3,11.0,0.005643517820914697,3.4594316186372973,5.177247680796544
55,Orco +/+ shuffle vs. Orco -/- da4l,1.5,0.600188657669783,0.5849625007211562,0.5105112437389321
56,Orco +/+ shuffle vs. Orco -/- da4m,11.0,0.005643517820914697,3.4594316186372973,5.177247680796544
57,Orco +/+ shuffle vs. Orco -/- dc1,0.4634146341463415,0.003033785078233044,-1.1096244911744981,5.797944238325936
58,Orco +/+ shuffle vs. Orco -/- dc2,0.7391304347826086,0.40493231685489783,-0.43609911480667357,0.9040353447183089
59,Orco +/+ shuffle vs. Orco -/- dc3,0.425,0.0014790992959473742,-1.234465253637023,6.5163219602877565
60,Orco +/+ shuffle vs. Orco -/- dc4,1.5,0.34271306144799435,0.5849625007211562,1.0708617374692633
61,Orco +/+ shuffle vs. Orco -/- dl1,0.8095238095238095,0.6094556202025603,-0.3048545815284209,0.4951891461612887
62,Orco +/+ shuffle vs. Orco -/- dl2d,1.5,0.49228252506644254,0.5849625007211562,0.7087024893614199
63,Orco +/+ shuffle vs. Orco -/- dl2v,1.4,0.5284845781376061,0.48542682717024166,0.6377416545373257
64,Orco +/+ shuffle vs. Orco -/- dl3,1.6666666666666667,0.19638849394937907,0.7369655941662062,1.6276604695570558
65,Orco +/+ shuffle vs. Orco -/- dl4,3.75,0.016517007316474205,1.9068905956085185,4.103364682476992
66,Orco +/+ shuffle vs. Orco -/- dl5,0.35714285714285715,0.003277186963743117,-1.4854268271702418,5.7207698575688255
67,Orco +/+ shuffle vs. Orco -/- dm1,1.125,0.8580053573871905,0.16992500144231237,0.15314493547265412
68,Orco +/+ shuffle vs. Orco -/- dm2,1.0,1.0,0.0,0.0
69,Orco +/+ shuffle vs. Orco -/- dm3,2.375,0.04449248468615789,1.2479275134435854,3.112434987529485
70,Orco +/+ shuffle vs. Orco -/- dm4,4.2,0.0017926122137600004,2.070389327891398,6.324081385631222
71,Orco +/+ shuffle vs. Orco -/- dm5,0.875,0.8498006309539052,-0.19264507794239588,0.16275350882828982
72,Orco +/+ shuffle vs. Orco -/- dm6,1.3157894736842106,0.4245670516405181,0.3959286763311393,0.8566853313095925
73,Orco +/+ shuffle vs. Orco -/- dp1l,1.9090909090909092,0.09588121135804265,0.932885804141463,2.3446452353901868
74,Orco +/+ shuffle vs. Orco -/- dp1m,0.5925925925925926,0.10561547728687594,-0.7548875021634687,2.2479503532329796
75,Orco +/+ shuffle vs. Orco -/- v,12.0,0.0029603338991795874,3.584962500721156,5.822453213231148
76,Orco +/+ shuffle vs. Orco -/- va1d,0.3888888888888889,0.036952428952323466,-1.3625700793847082,3.2981238975556684
77,Orco +/+ shuffle vs. Orco -/- va1v,0.631578947368421,0.26163493430557283,-0.6629650127224294,1.3408051273914452
78,Orco +/+ shuffle vs. Orco -/- va2,1.0,1.0,0.0,0.0
79,Orco +/+ shuffle vs. Orco -/- va3,0.6071428571428571,0.11277556339325293,-0.7198920808072649,2.18235559997191
80,Orco +/+ shuffle vs. Orco -/- va4,1.4285714285714286,0.6214196207257554,0.5145731728297582,0.47574870748826986
81,Orco +/+ shuffle vs. Orco -/- va5,0.43478260869565216,0.027880498868348265,-1.2016338611696507,3.5798277998371204
82,Orco +/+ shuffle vs. Orco -/- va6,0.6,0.13280461202090063,-0.7369655941662062,2.018876313469797
83,Orco +/+ shuffle vs. Orco -/- va7l,1.5714285714285714,0.4703828532241951,0.6520766965796931,0.7542083345412683
84,Orco +/+ shuffle vs. Orco -/- va7m,0.8666666666666667,0.845039026929691,-0.20645087746742632,0.16837246697587985
85,Orco +/+ shuffle vs. Orco -/- vc1,2.6,0.08880105429086024,1.3785116232537298,2.4213567564096694
86,Orco +/+ shuffle vs. Orco -/- vc2,2.6,0.08880105429086024,1.3785116232537298,2.4213567564096694
87,Orco +/+ shuffle vs. Orco -/- vc3l,0.5,0.053359589002146476,-1.0,2.9307015797630065
88,Orco +/+ shuffle vs. Orco -/- vc3m,1.1428571428571428,0.8498006309539052,0.19264507794239583,0.16275350882828982
89,Orco +/+ shuffle vs. Orco -/- vc4,1.375,0.6394096021952577,0.45943161863729726,0.44721002496015283
90,Orco +/+ shuffle vs. Orco -/- vc5,1.0,1.0,0.0,0.0
